"start" "end" "FDR" "direction" "best.pos" "rodzaj"
"1" 21667 21896 6.13027809584522e-05 "up" 21862 "Enriched in TopA depleted strain"
"2" 77005 77188 0.00214395068855839 "up" 77062 "Enriched in TopA depleted strain"
"3" 81398 81581 0.00133343370377291 "up" 81432 "Enriched in TopA depleted strain"
"4" 329177 329291 0.0151665372828673 "up" 329257 "Enriched in TopA depleted strain"
"5" 330212 330303 0.0352842578270904 "up" 330246 "Enriched in TopA depleted strain"
"6" 609156 609339 0.0028513424098173 "up" 609259 "Enriched in TopA depleted strain"
"7" 756379 756447 0.00920439274215364 "up" 756413 "Enriched in TopA depleted strain"
"8" 886214 886420 0.0124085058830285 "up" 886363 "Enriched in TopA depleted strain"
"9" 931409 931638 0.0271116208279968 "up" 931443 "Enriched in TopA depleted strain"
"10" 965817 965885 0.000141316616741156 "up" 965851 "Enriched in TopA depleted strain"
"11" 1104576 1104782 0.00337227630887851 "up" 1104633 "Enriched in TopA depleted strain"
"12" 1267439 1267622 0.0141593600168511 "up" 1267473 "Enriched in TopA depleted strain"
"13" 1333656 1333747 0.0440165674149156 "up" 1333690 "Enriched in TopA depleted strain"
"14" 1570533 1570693 0.0352842578270904 "up" 1570567 "Enriched in TopA depleted strain"
"15" 1666512 1666902 0.0130384324450769 "up" 1666776 "Enriched in TopA depleted strain"
"16" 1715755 1715892 6.13027809584522e-05 "up" 1715835 "Enriched in TopA depleted strain"
"17" 1876111 1876363 0.0396539311251052 "up" 1876145 "Enriched in TopA depleted strain"
"18" 1918891 1919304 0.0298768737210199 "up" 1919201 "Enriched in TopA depleted strain"
"19" 1939062 1939199 0.0263917120699574 "up" 1939096 "Enriched in TopA depleted strain"
"20" 1964822 1965350 0.000352593033801648 "up" 1964856 "Enriched in TopA depleted strain"
"21" 2025266 2025403 0.0113496348218788 "up" 2025369 "Enriched in TopA depleted strain"
"22" 2191234 2191348 0.0153056583090147 "up" 2191314 "Enriched in TopA depleted strain"
"23" 2262971 2263269 0.0218664857510898 "up" 2263212 "Enriched in TopA depleted strain"
"24" 2904487 2904762 0.0125181962945986 "up" 2904728 "Enriched in TopA depleted strain"
"25" 3061899 3062197 0.0404631467297608 "up" 3062140 "Enriched in TopA depleted strain"
"26" 3234422 3234743 0.00923933533241673 "up" 3234709 "Enriched in TopA depleted strain"
"27" 3236446 3236583 0.0345485543271144 "up" 3236480 "Enriched in TopA depleted strain"
"28" 3302042 3302156 0.032597075883575 "up" 3302076 "Enriched in TopA depleted strain"
"29" 3483190 3483465 0.00650806522781048 "up" 3483408 "Enriched in TopA depleted strain"
"30" 3496691 3496920 0.0456340753272747 "up" 3496725 "Enriched in TopA depleted strain"
